"number","GSM","file","url"
60,"GSM14249172","[GSM1424917_Dmel-H3K27me3-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424917/suppl/GSM1424917_Dmel-H3K27me3-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424917/suppl/GSM1424917_Dmel-H3K27me3-c14a.wig.gz"
61,"GSM14249181","[GSM1424918_Dmel-H3K27me3-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424918/suppl/GSM1424918_Dmel-H3K27me3-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424918/suppl/GSM1424918_Dmel-H3K27me3-c14c-peaks.xls.gz"
62,"GSM14249182","[GSM1424918_Dmel-H3K27me3-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424918/suppl/GSM1424918_Dmel-H3K27me3-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424918/suppl/GSM1424918_Dmel-H3K27me3-c14c.wig.gz"
63,"GSM14249191","[GSM1424919_Dmel-H3K36me3-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424919/suppl/GSM1424919_Dmel-H3K36me3-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424919/suppl/GSM1424919_Dmel-H3K36me3-c12-peaks.xls.gz"
64,"GSM14249192","[GSM1424919_Dmel-H3K36me3-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424919/suppl/GSM1424919_Dmel-H3K36me3-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424919/suppl/GSM1424919_Dmel-H3K36me3-c12.wig.gz"
65,"GSM14249201","[GSM1424920_Dmel-H3K36me3-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424920/suppl/GSM1424920_Dmel-H3K36me3-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424920/suppl/GSM1424920_Dmel-H3K36me3-c14a-peaks.xls.gz"
66,"GSM14249202","[GSM1424920_Dmel-H3K36me3-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424920/suppl/GSM1424920_Dmel-H3K36me3-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424920/suppl/GSM1424920_Dmel-H3K36me3-c14a.wig.gz"
67,"GSM14249211","[GSM1424921_Dmel-H3K36me3-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424921/suppl/GSM1424921_Dmel-H3K36me3-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424921/suppl/GSM1424921_Dmel-H3K36me3-c14c-peaks.xls.gz"
68,"GSM14249212","[GSM1424921_Dmel-H3K36me3-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424921/suppl/GSM1424921_Dmel-H3K36me3-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424921/suppl/GSM1424921_Dmel-H3K36me3-c14c.wig.gz"
69,"GSM1424922","[GSM1424922_Dmel-H3-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424922/suppl/GSM1424922_Dmel-H3-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424922/suppl/GSM1424922_Dmel-H3-c8.wig.gz"
70,"GSM1424923","[GSM1424923_Dmel-H3-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424923/suppl/GSM1424923_Dmel-H3-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424923/suppl/GSM1424923_Dmel-H3-c12.wig.gz"
71,"GSM1424924","[GSM1424924_Dmel-H3-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424924/suppl/GSM1424924_Dmel-H3-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424924/suppl/GSM1424924_Dmel-H3-c14a.wig.gz"
72,"GSM1424925","[GSM1424925_Dmel-H3-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424925/suppl/GSM1424925_Dmel-H3-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424925/suppl/GSM1424925_Dmel-H3-c14c.wig.gz"
73,"GSM1424926","[GSM1424926_Dmel-input-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424926/suppl/GSM1424926_Dmel-input-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424926/suppl/GSM1424926_Dmel-input-c8.wig.gz"
74,"GSM1424927","[GSM1424927_Dmel-input-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424927/suppl/GSM1424927_Dmel-input-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424927/suppl/GSM1424927_Dmel-input-c12.wig.gz"
75,"GSM1424928","[GSM1424928_Dmel-input-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424928/suppl/GSM1424928_Dmel-input-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424928/suppl/GSM1424928_Dmel-input-c14a.wig.gz"
76,"GSM1424929","[GSM1424929_Dmel-input-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424929/suppl/GSM1424929_Dmel-input-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424929/suppl/GSM1424929_Dmel-input-c14c.wig.gz"
77,"GSM1429650","[GSM1429650_Dmel-wt-ZLD.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429650/suppl/GSM1429650_Dmel-wt-ZLD.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429650/suppl/GSM1429650_Dmel-wt-ZLD.wig.gz"
78,"GSM1429651","[GSM1429651_Dmel-ZLDm-ZLD.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429651/suppl/GSM1429651_Dmel-ZLDm-ZLD.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429651/suppl/GSM1429651_Dmel-ZLDm-ZLD.wig.gz"
79,"GSM1429652","[GSM1429652_Dmel-wt-H3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429652/suppl/GSM1429652_Dmel-wt-H3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429652/suppl/GSM1429652_Dmel-wt-H3.wig.gz"
80,"GSM1429653","[GSM1429653_Dmel-ZLDm-H3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429653/suppl/GSM1429653_Dmel-ZLDm-H3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429653/suppl/GSM1429653_Dmel-ZLDm-H3.wig.gz"
81,"GSM1429654","[GSM1429654_Dmel-wt-H3K4me1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429654/suppl/GSM1429654_Dmel-wt-H3K4me1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429654/suppl/GSM1429654_Dmel-wt-H3K4me1.wig.gz"
82,"GSM1429655","[GSM1429655_Dmel-ZLDm-H3K4me1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429655/suppl/GSM1429655_Dmel-ZLDm-H3K4me1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429655/suppl/GSM1429655_Dmel-ZLDm-H3K4me1.wig.gz"
83,"GSM1429656","[GSM1429656_Dmel-wt-H3K18ac.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429656/suppl/GSM1429656_Dmel-wt-H3K18ac.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429656/suppl/GSM1429656_Dmel-wt-H3K18ac.wig.gz"
84,"GSM1429657","[GSM1429657_Dmel-ZLDm-H3K18ac.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429657/suppl/GSM1429657_Dmel-ZLDm-H3K18ac.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1429nnn/GSM1429657/suppl/GSM1429657_Dmel-ZLDm-H3K18ac.wig.gz"
