"number","GSM","file","url"
65,"GSM22197432","[GSM2219743_ssm_NC14.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14.06_all.peaks.nucmap_combined.bed.gz"
66,"GSM22197433","[GSM2219743_ssm_NC14_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14_06_open.wig.gz"
67,"GSM22197461","[GSM2219746_ssm_NC14.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
68,"GSM22197462","[GSM2219746_ssm_NC14.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14.09_all.peaks.nucmap_combined.bed.gz"
69,"GSM22197463","[GSM2219746_ssm_NC14_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219746/suppl/GSM2219746_ssm_NC14_09_open.wig.gz"
70,"GSM22197501","[GSM2219750_ssm_NC14.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
71,"GSM22197502","[GSM2219750_ssm_NC14.12_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14.12_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14.12_all.peaks.nucmap_combined.bed.gz"
72,"GSM22197503","[GSM2219750_ssm_NC14_12_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14_12_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219750/suppl/GSM2219750_ssm_NC14_12_open.wig.gz"
73,"GSM22197531","[GSM2219753_ssm_NC14.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
74,"GSM22197532","[GSM2219753_ssm_NC14.15_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14.15_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14.15_all.peaks.nucmap_combined.bed.gz"
75,"GSM22197533","[GSM2219753_ssm_NC14_15_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14_15_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219753/suppl/GSM2219753_ssm_NC14_15_open.wig.gz"
76,"GSM22197561","[GSM2219756_ssm_NC14.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
77,"GSM22197562","[GSM2219756_ssm_NC14.18_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14.18_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14.18_all.peaks.nucmap_combined.bed.gz"
78,"GSM22197563","[GSM2219756_ssm_NC14_18_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14_18_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219756/suppl/GSM2219756_ssm_NC14_18_open.wig.gz"
